;;;;;;;;
nom_fichier;num_poste;nom_usuel;latitude;longitude;altitude;temperature;;
SH_MTN022372001.csv;22372001;ST BRIEUC;48.535;-2.852;135;3.8;;
SH_MTN123030004.csv;23030004;BOURGANEUF;45.942;1.726;513;2.5;;
SH_MTN123067001.csv;23067001;LA COURTINE;45.703;2.264;772;-0.1;;
SH_MTN024037005.csv;24037005;BERGERAC;44.823;0.524;49;3.2;;
SH_MTN024138004.csv;24138004;COULOUNIEIX;45.16;0.677;217;4.2;;
SH_MTN225021001.csv;25021001;ARC-ET-SENANS;47.032;5.782;235;1.6;;
SH_MTN325056001.csv;25056001;BESANCON;47.249;5.989;307;2.2;;
SH_MTN025462001.csv;25462001;PONTARLIER;46.905;6.34;831;0;;
SH_MTN126168001.csv;26168001;LUS L CROIX HTE;44.673;5.711;1059;-1.3;;
SH_MTN226198001.csv;26198001;MONTELIMAR;44.581;4.733;73;4.5;;
SH_MTN026295001.csv;26295001;ST-BARTHELEMY-V_SAPC;45.174;4.903;203;3.8;;
SH_MTN126307001.csv;26307001;ST-JEAN-EN-ROYA;45.009;5.293;308;2.2;;
SH_MTN126330001.csv;26330001;ST-SORLIN-EN-VA;45.271;4.93;237;4;;
SH_MTN127112001.csv;27112001;BRETEUIL;48.838;0.908;168;1.9;;
SH_MTN227306001.csv;27306001;GUICHAINVILLE;48.977;1.182;147;2;;
SH_MTN028064002.csv;28064002;BU_SAPC;48.802;1.493;132;2.2;;
SH_MTN328070001.csv;28070001;CHARTRES;48.461;1.501;155;2.4;;
SH_MTN228195001.csv;28195001;HOUX;48.566;1.621;107;1.7;;
SH_MTN228198001.csv;28198001;CHATEAUDUN;48.061;1.376;126;1.2;;
SH_MTN028322001.csv;28322001;RUEIL;48.712;0.959;157;1.5;;
SH_MTN128363001.csv;28363001;SAINVILLE;48.404;1.903;149;2.2;;
SH_MTN029022001.csv;29022001;CAMARET;48.275;-4.607;44;5.5;;
SH_MTN129075001.csv;29075001;BREST-GUIPAVAS;48.45;-4.383;94;3.7;;
SH_MTN229082001.csv;29082001;BATZ;48.746;-4.012;32;6.4;;
SH_MTN129120001.csv;29120001;LANVEOC;48.279;-4.439;81;4.6;;
SH_MTN129155005.csv;29155005;OUESSANT-STIFF;48.473;-5.057;64;7.2;;
SH_MTN029168001.csv;29168001;PTE DU RAZ;48.039;-4.732;67;5.5;;
SH_MTN030076001.csv;30076001;CAVILLARGUES;44.113;4.519;131;3.5;;
SH_MTN230189001.csv;30189001;NIMES-COURBESSAC;43.857;4.406;59;5.4;;
SH_MTN130269006.csv;30269006;ST JEAN DU GARD;44.111;3.872;196;2.2;;
SH_MTN130305001.csv;30305001;SALINDRES;44.175;4.153;191;2.6;;
SH_MTN130339001.csv;30339001;MONT AIGOUAL;44.121;3.582;1567;-0.6;;
SH_MTN031042012.csv;31042012;LUCHON;42.802;0.6;618;0.6;;
SH_MTN331069001.csv;31069001;TOULOUSE-BLAGNAC;43.621;1.379;151;5.3;;
SH_MTN231157001.csv;31157001;TOULOUSE-FRANCAZAL;43.54;1.373;164;5.5;;
SH_MTN231403002.csv;31403002;ONDES;43.778;1.321;109;4.8;;
SH_MTN332013005.csv;32013005;AUCH;43.689;0.601;122;4.3;;
SH_MTN033063001.csv;33063001;BORDEAUX-PAULIN;44.85;-0.589;10;6.1;;
SH_MTN033214002.csv;33214002;LACANAU;45.001;-1.139;16;4.7;;
SH_MTN133236002.csv;33236002;CAP-FERRET;44.631;-1.252;8;6.8;;
SH_MTN133281001.csv;33281001;BORDEAUX-MERIGNAC;44.831;-0.691;47;5.3;;
SH_MTN133504001.csv;33504001;SAUTERNES;44.544;-0.327;65;5;;
SH_MTN133529001.csv;33529001;CAZAUX;44.535;-1.132;23;4.4;;
SH_MTN133550001.csv;33550001;VILLENAVE D'ORNON-INRA;44.79;-0.577;25;5.4;;
SH_MTN234154001.csv;34154001;MONTPELLIER-AEROPORT;43.576;3.965;1;5.1;;
SH_MTN234301002.csv;34301002;SETE;43.397;3.692;75;8.1;;
SH_MTN035110003.csv;35110003;FEINS  SA;48.327;-1.597;87;2.7;;
SH_MTN135228001.csv;35228001;DINARD;48.585;-2.076;65;3.3;;
SH_MTN235281001.csv;35281001;RENNES-ST JACQUES;48.069;-1.734;36;3;;
SH_MTN236063001.csv;36063001;CHATEAUROUX  DEOLS;46.87;1.741;158;3.6;;
SH_MTN037003001.csv;37003001;AMBOISE;47.394;0.977;119;3.3;;
SH_MTN237179001.csv;37179001;TOURS;47.445;0.727;108;3.6;;
SH_MTN138242001.csv;38242001;MONESTIER;44.922;5.638;806;0.9;;
SH_MTN138299001.csv;38299001;PELLAFOL-CHANEAUX;44.784;5.906;947;1.5;;
SH_MTN038366001.csv;38366001;ST-BAUDILLE;44.796;5.796;1040;-0.6;;
SH_MTN138442001.csv;38442001;GRANDE-CHARTREUSE;45.363;5.792;945;0.7;;
SH_MTN138548001.csv;38548001;VILLARD-DE-LANS;45.079;5.561;1027;-2;;
SH_MTN139013004.csv;39013004;ARBOIS_SAPC;46.896;5.74;313;2.8;;
SH_MTN239198001.csv;39198001;DOLE;47.064;5.496;212;2.2;;
SH_MTN240088001.csv;40088001;DAX;43.69;-1.07;31;5.5;;
SH_MTN240192001.csv;40192001;MONT-DE-MARSAN;43.91;-0.5;59;4.4;;
SH_MTN140272002.csv;40272002;ST M HINX STNA-INRA;43.571;-1.299;37;6.1;;
SH_MTN240304001.csv;40304001;SOORTS-HOSSEGOR;43.67;-1.426;10;6.6;;
SH_MTN241097001.csv;41097001;ROMORANTIN;47.32;1.688;83;2.2;;
SH_MTN242005001.csv;42005001;ST ETIENNE-BOUTHEON;45.546;4.294;395;1.7;;
SH_MTN042098001.csv;42098001;FOURNEAUX;45.941;4.269;510;2.4;;
SH_MTN243046001.csv;43046001;LE PUY-CHADRAC;45.055;3.895;714;1;;
SH_MTN143096001.csv;43096001;FONTANNES;45.3;3.42;435;0.8;;
SH_MTN244020001.csv;44020001;NANTES-BOUGUENAIS;47.15;-1.609;26;3.7;;
SH_MTN044110002.csv;44110002;NORT-SUR-ERDRE;47.425;-1.514;13;3.3;;
SH_MTN245055001.csv;45055001;ORLEANS;47.991;1.778;123;2.9;;
SH_MTN045270002.csv;45270002;ST-BENOIT/LOIRE;47.808;2.306;112;2.7;;
SH_MTN246127001.csv;46127001;GOURDON;44.745;1.397;260;3.9;;
SH_MTN247091001.csv;47091001;AGEN-LA GARENNE;44.172;0.595;58;4.5;;
SH_MTN149020001.csv;49020001;BEAUCOUZE;47.479;-0.614;50;3.6;;
SH_MTN149027001.csv;49027001;BEGROLLES;47.152;-0.938;100;3.1;;
SH_MTN249281001.csv;49281001;ST GEORGES GARD;47.151;-0.74;203;3;;
